dsnumber,check_import,check_chanloc,remove_chan,cleanraw,runica,iclabel,dataqual,modality,debug_note,manual_debug_note,latest_batch_run
ds004770,ok,ok,ok,7/22,7/22,0/22,7/22,ieeg,,,11-27-2023
ds004561,ok,ok,ok,0/23,0/23,0/23,0/23,eeg,,,10-02-2023
ds000247,ok,ok,ok,0/5,0/5,0/5,0/5,meg,,,10-18-2023
ds003753,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds003420,ok,ok,ok,11/92,3/92,3/92,3/92,eeg,,,01-17-2024
ds004010,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-26-2023
ds004148,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,10-02-2023
ds002725,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,02-21-2024
ds004362,ok,ok,ok,ok,ok,ok,215/1526,eeg,,,06-29-2023
ds004408,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds002550,ok,ok,ok,0/377,0/377,0/377,374/377,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds004511,ok,0/129,0/129,0/129,0/129,0/129,ok,eeg,,Done. NEMAR.json now indicates an error because of unknown channels.,02-27-2024
ds002181,-1,-1,-1,-1,-1,-1,-1,eeg,,Done. Will not fix. NEMAR.json up to date.,10-03-2023
ds002893,ok,ok,ok,ok,ok,42/52,ok,eeg,ok,,08-03-2024
ds003682,ok,0/336,0/336,0/336,0/336,0/336,ok,meg,,"Channel with no coordinates
https://github.com/fieldtrip/fieldtrip/issues/2436",08-13-2024
ds000248,ok,ok,ok,ok,0/1,0/1,ok,meg,,"Submit bug to fieldtrip, was working with version from 13 June 2023. Also, ask if they know the montage and have MEG sensor and EEG sensor location for it. ABCD https://github.com/sccn/NEMAR-pipeline/issues/67",02-26-2024
ds003190,ok,382/384,382/384,382/384,382/384,382/384,ok,eeg,ok,Done with NEMAR warning about channel locations.,02-26-2024
ds004197,ok,ok,ok,ok,ok,ok,ok,unknown,ok,,01-24-2024
ds003822,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,07-03-2023
ds003670,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,07-03-2023
ds003754,ok,ok,ok,20/44,20/44,0/44,21/44,ieeg,,,02-21-2024
ds004554,ok,ok,ok,0/16,0/16,0/16,ok,eeg,,,01-17-2024
ds004917,ok,ok,ok,0/24,0/24,0/24,0/24,eeg,,,08-28-2024
ds004574,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,08-28-2024
ds004357,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-26-2023
ds003082,ok,ok,0/1,0/1,0/1,0/1,0/1,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds004519,ok,ok,ok,0/40,0/40,0/40,ok,eeg,,,01-17-2024
ds004602,ok,ok,ok,ok,0/546,0/546,ok,eeg,,,10-02-2023
ds004151,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,11-27-2023
ds003800,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,10-01-2023
ds003846,ok,0/60,0/60,0/60,0/60,0/60,ok,eeg,,"Channels are prefixed with RDA_ so cannot be looked up
https://github.com/sccn/NEMAR-pipeline/issues/85",08-13-2024
ds002799,-1,-1,-1,-1,-1,-1,-1,ieeg,,"No ieeg data found in any of the subject directories
",08-28-2024
ds004024,-1,-1,-1,-1,-1,-1,-1,eeg,,Done. Will not fix. NEMAR.json up to date. Too large.,08-12-2024
ds003694,ok,ok,ok,3/132,0/132,0/132,3/132,meg,,Run again one subject at a time. Log file not created but we do not know why. ,08-12-2024
ds004350,ok,ok,ok,ok,211/217,211/217,211/217,eeg,ok,,09-15-2023
ds004105,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-26-2023
ds004771,ok,ok,ok,0/61,0/61,0/61,ok,eeg,,,10-01-2023
ds003518,ok,ok,ok,ok,129/137,129/137,ok,eeg,ok,,08-16-2023
ds003702,ok,ok,ok,ok,ok,ok,ok,eeg,ok,"
",02-21-2024
ds004577,ok,ok,ok,ok,129/130,129/130,ok,eeg,ok,,11-27-2023
ds004127,ok,ok,ok,ok,0/73,0/73,0/73,ieeg,,OOM with 64GB of memory for each datarun. Trying 120G,05-10-2024
ds003574,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds004703,ok,ok,ok,7/11,7/11,0/11,7/11,ieeg,,,12-19-2023
ds004398,ok,ok,ok,0/1,0/1,0/1,0/1,meg,,Try importing the dataset with Fieldtrip and the CTF plugin. 11/27,12-22-2023
ds003523,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds004212,ok,ok,ok,2/480,0/480,0/480,2/480,meg,,Warning. Work in local mode. Check for batch mode.,08-21-2024
ds004347,ok,ok,ok,ok,ok,ok,23/24,eeg,ok,,06-29-2023
ds004588,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,10-01-2023
ds001787,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-04-2024
ds003505,ok,ok,ok,3/37,0/37,0/37,0/37,eeg,,,08-22-2023
ds003568,ok,ok,ok,3/118,2/118,2/118,3/118,meg,,,10-18-2023
ds004504,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,04-24-2024
ds003703,ok,ok,ok,50/102,0/102,0/102,50/102,meg,,,05-08-2024
ds003987,ok,ok,ok,ok,ok,0/69,ok,eeg,,,01-17-2024
ds004078,ok,ok,ok,217/720,10/720,0/720,217/720,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds003392,-1,-1,-1,-1,-1,-1,-1,meg,,Done. Will not fix. NEMAR.json up to date.,07-31-2023
ds004317,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,01-24-2024
ds004122,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,02-21-2024
ds004118,ok,ok,ok,ok,12/22,12/22,12/22,eeg,,,10-02-2023
ds004033,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-23-2023
ds004011,ok,ok,ok,0/132,0/132,0/132,12/132,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds003876,ok,ok,ok,35/54,35/54,0/54,36/54,ieeg,,,02-21-2024
ds004166,ok,ok,ok,ok,119/180,117/180,119/180,eeg,,,10-01-2023
ds004330,-1,-1,-1,-1,-1,-1,-1,meg,,Has channel location when importing with File-IO. See https://github.com/sccn/EEG-BIDS/issues/226,08-26-2024
