dsnumber,check_import,check_chanloc,remove_chan,cleanraw,runica,iclabel,dataqual,modality,debug_note,manual_debug_note,latest_batch_run
ds004841,ok,ok,ok,11/147,11/147,11/147,ok,eeg,,,08-29-2024
ds004770,ok,ok,ok,7/22,7/22,0/22,7/22,ieeg,,,11-27-2023
ds004561,ok,ok,ok,0/23,0/23,0/23,0/23,eeg,,,10-02-2023
ds000247,ok,ok,ok,0/5,0/5,0/5,0/5,meg,,,10-18-2023
ds005131,ok,30/63,30/63,30/63,30/63,30/63,ok,eeg,,"Most subjects don't have channel information since channel names are numbered, not 10-20. Yet some has channels in 10-20 hence probably looked up by bids import. See sub-128/ses-1 (standard name) vs sub-134/ses-2 (numbered name) for example",09-05-2024
ds003753,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-29-2023
ds003420,ok,ok,ok,11/92,3/92,3/92,3/92,eeg,,,01-17-2024
ds005028,ok,0/105,0/105,0/105,0/105,0/105,38/105,eeg,,Done. NEMAR.json updated. This is 10-20 but the channel locations are not readily available.,08-29-2024
ds004010,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-26-2023
ds004148,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,10-02-2023
ds005170,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,08-29-2024
ds004840,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,08-29-2024
ds002725,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,02-21-2024
ds004362,ok,ok,ok,ok,ok,ok,215/1526,eeg,,,06-29-2023
ds005514,ok,ok,ok,ok,283/295,283/295,283/295,eeg,ok,,12-17-2024
ds004408,ok,ok,ok,ok,ok,ok,ok,eeg,ok,Bad participants.tsv,09-20-2024
ds004796,ok,ok,150/235,179/235,175/235,175/235,ok,eeg,,,12-02-2024
ds002550,ok,ok,ok,0/377,0/377,0/377,374/377,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds004511,ok,0/129,0/129,0/129,0/129,0/129,ok,eeg,,Done. NEMAR.json now indicates an error because of unknown channels.,02-27-2024
ds002181,-1,-1,-1,-1,-1,-1,-1,eeg,,Done. Will not fix. NEMAR.json up to date.,10-03-2023
ds002893,ok,ok,ok,ok,ok,42/52,ok,eeg,ok,,08-03-2024
ds003682,ok,0/336,0/336,0/336,0/336,0/336,ok,meg,,"Channel with no coordinates
https://github.com/fieldtrip/fieldtrip/issues/2436",08-13-2024
ds000248,ok,ok,ok,ok,0/1,0/1,ok,meg,,"Submit bug to fieldtrip, was working with version from 13 June 2023. Also, ask if they know the montage and have MEG sensor and EEG sensor location for it. ABCD https://github.com/sccn/NEMAR-pipeline/issues/67",02-26-2024
ds003190,ok,382/384,382/384,382/384,382/384,382/384,ok,eeg,ok,"Done with NEMAR warning about channel locations.
participants.tsv has no columns except for id",02-26-2024
ds003822,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,07-03-2023
ds003670,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,07-03-2023
ds004554,ok,ok,ok,0/16,0/16,0/16,ok,eeg,,,01-17-2024
ds004917,ok,ok,ok,0/24,0/24,0/24,0/24,eeg,,,08-28-2024
ds004574,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,08-28-2024
ds004357,ok,ok,ok,ok,ok,ok,ok,eeg,ok,,06-26-2023
ds003082,ok,ok,0/1,0/1,0/1,0/1,0/1,meg,,Warning. Work in local mode. Check for batch mode.	,08-21-2024
ds004519,ok,ok,ok,0/40,0/40,0/40,ok,eeg,,"Add Warning to NEMAR file. Warning: data is epoched, so some visualization function are not functional. Note that the data is marked as ""raw"" so it is not technically BIDS compliant because raw EEG data is continuous. This is why clean_rawdata fails.",01-17-2024
ds004602,ok,ok,ok,ok,0/546,0/546,ok,eeg,,,10-02-2023
